name,detail
消風散,"【禁忌】

【慎重投与】
1)患部に分泌物がなくて乾いている場合

2)著しく体力の衰えている患者

3)著しく胃腸虚弱な患者

"
神秘湯,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック"
真武湯,"【禁忌】

【慎重投与】
1)自覚的に熱感のある患者

2)肥満体質"
大黄牡丹皮湯,"【禁忌】

【慎重投与】
1)著しく体力の衰えている患者

2)治療上，食塩制限が必要な患者"
大柴胡湯,"【禁忌】

【慎重投与】
1)下痢，軟便
2)著しく胃腸虚弱
3)著しく体力が衰えている患者

【併用注意】
1)便秘傾向の著しいものには大黄甘草湯，又は大黄末を併用する
2)黄疸の著しいものは茵蔯蒿湯を併用する"
大承気湯,"【禁忌】

【慎重投与】
1)体力の衰えている人
2)胃腸の弱い人"
釣藤散,"【禁忌】

【慎重投与】
著しい胃腸虚弱"
当帰芍薬散,"【禁忌】

【慎重投与】
1)胃腸虚弱な患者
2)食欲不振，悪心，嘔吐

【併用注意】
併用
貧血，全身倦怠感，胃腸障害のある場合には人参湯を併用してよいことがある"
人参湯32,"【禁忌】
1)アルドステロン症

2)ミオパチー

3)低K血症"
人参養栄湯,"【注意】
〈検査〉本剤投与により，血中AG(1，5-アンヒドロ-D-グルシトール)の増加あり"
麦門冬湯29,"【禁忌】

【併用注意】
併用
1)扁桃腺，咽喉炎等の著しい場合には桔梗湯，甘草湯等を併用する

2)咽喉の違和感，閉塞感を伴う場合には半夏厚朴湯を併用してよいことがある

"
八味地黄丸,"【禁忌】

【慎重投与】
1)自覚的に熱感のある患者，又は肥満体質の患者

2)著しく胃腸虚弱な患者

【併用注意】
併用
1)人参湯との併用により消化器系の副作用が軽減する

2)各種疾患(気管支喘息，膠原病等)の基盤に本方の適応する病態が存在することが多い．従って他の方剤を主とし，本方を従として用いる"
半夏厚朴湯16,"【禁忌】

【併用注意】
併用
1)嗄声には麦門冬湯，桔梗湯等を併用する

2)気管支喘息の基礎治療薬として，小柴胡湯，柴胡桂枝乾姜湯等の柴胡剤と併用する"
半夏瀉心湯,"【禁忌】
1)アルドステロン症
2)ミオパチー
3)低K血症

"
半夏白朮天麻湯37,"【禁忌】

【併用注意】
1)頭痛の治療にあたっては，エルゴタミン製剤，鎮痛薬等を適宜併用してよいが，用量を漸減する方向で併用することが望ましい

2)抗うつ薬の併用により，効果増強

"
附子理中湯,"【禁忌】
1)アルドステロン症の患者

2)ミオパチーのある患者

3)低K血症のある患者

【慎重投与】
妊婦又は妊娠していると思われる女性


【併用注意】
フロセミド，エタクリン酸又はサイアザイド系利尿薬との併用→血清K値の低下
"
防風通聖散62,"【禁忌】

【併用注意】
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック"
麻黄湯27,"【禁忌】

【慎重】
1)発汗傾向が著しい患者

2)著しく体力の衰えている

3)著しく胃腸虚弱

4)狭心症，心筋梗塞など循環器系の障害又は既往歴

【併用注意】
相互
1)交感神経興奮薬→動悸頻脈等

2)解熱・鎮痛薬→過度の発汗(時にショック)"
麻黄附子細辛湯127,"【禁忌】

【慎重投与】
体力の充実した人で熱感のあるもの"
麻杏甘石湯55,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗(時にショック)"
麻杏薏甘湯78,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬との併用→動悸頻脈等

2)解熱・鎮痛薬との併用→過度の発汗，時にショック"
木防已湯36,"【禁忌】

【慎重投与】
胃腸虚弱"
薏苡仁湯52,"【禁忌】

【併用注意】
相互
1)交感神経興奮薬→動悸頻脈等

2)解熱・鎮痛薬との併用過度の発汗(時にショック)"
抑肝散54,"【禁忌】

【慎重投与】
胃腸虚弱者(胃腸障害)

【副作用】
心不全，横紋筋融解症(重大な副作用)"
竜胆瀉肝湯76,"【禁忌】

【慎重投与】
1)体力低下
2)胃腸虚弱"
苓桂朮甘湯39,"【禁忌】

【併用注意】
起立性低血圧に対しては

1)エルゴタミン製剤の併用により効果増強

2)人参湯あるいは半夏白朮天麻湯を併用するとよい例がある"
六味丸87,"【禁忌】

【慎重投与】
胃腸虚弱者"
